iter	MultiRMSE
0	6.744679953
1	6.691834416
2	6.624505741
3	6.585026149
4	6.527054055
5	6.490644016
6	6.439544837
7	6.364963744
8	6.331321544
9	6.302013291
10	6.235087818
11	6.181624037
12	6.118765407
13	6.085145504
14	6.058487515
15	6.008862908
16	5.975461676
17	5.926164406
18	5.892887686
19	5.848289494
20	5.7947288
21	5.743843186
22	5.716059733
23	5.678266771
24	5.663733243
25	5.638843417
26	5.594099546
27	5.547621245
28	5.515724894
29	5.471232678
30	5.435188892
31	5.400662502
32	5.355817239
33	5.320461636
34	5.285891815
35	5.232680795
36	5.205449159
37	5.152906298
38	5.122682575
39	5.102675288
40	5.060047298
41	5.023143363
42	5.001908733
43	4.979960904
44	4.947121414
45	4.91700468
46	4.873323391
47	4.851838701
48	4.814361955
49	4.787742485
50	4.760017727
51	4.740878888
52	4.720685844
53	4.691498089
54	4.662892535
55	4.621612369
56	4.604248589
57	4.589345037
58	4.571257131
59	4.529668509
60	4.496783018
61	4.476795483
62	4.467569323
63	4.450330347
64	4.426542455
65	4.398559568
66	4.372430043
67	4.355330656
68	4.344189896
69	4.328503113
70	4.299138527
71	4.271397393
72	4.253559907
73	4.237706133
74	4.221498076
75	4.197703875
76	4.175929777
77	4.161449011
78	4.125963731
79	4.112814045
80	4.102127532
81	4.084791133
82	4.057941999
83	4.029560165
84	4.019249807
85	4.001351412
86	3.979489795
87	3.96620992
88	3.954145297
89	3.925870356
90	3.909242737
91	3.897430222
92	3.876819558
93	3.853646026
94	3.837565743
95	3.819346076
96	3.799885159
97	3.785820936
98	3.768256413
99	3.756750742
100	3.745858594
101	3.73264777
102	3.721822685
103	3.717175964
104	3.695960185
105	3.682696597
106	3.66869429
107	3.656238851
108	3.639486617
109	3.627106117
110	3.621372281
111	3.605303284
112	3.593327236
113	3.578136205
114	3.560978474
115	3.549476878
116	3.543192028
117	3.523823779
118	3.512961807
119	3.499895195
120	3.490378857
121	3.479319259
122	3.467795865
123	3.460953926
124	3.445178751
125	3.435135642
126	3.422661713
127	3.399069134
128	3.384604284
129	3.373254624
130	3.360976438
131	3.34993814
132	3.335659123
133	3.324195336
134	3.306200894
135	3.298914921
136	3.288935869
137	3.279308611
138	3.278039609
139	3.274233668
140	3.273128647
141	3.261569538
142	3.251358469
143	3.242419071
144	3.22649184
145	3.21671442
146	3.206120483
147	3.198588924
148	3.189547344
149	3.179076495
150	3.168885455
151	3.157794013
152	3.150280052
153	3.142371481
154	3.129520835
155	3.123853542
156	3.105274182
157	3.097583535
158	3.088614659
159	3.079251725
160	3.06975109
161	3.060961724
162	3.045580111
163	3.042098291
164	3.033844202
165	3.024980399
166	3.017242278
167	3.006450928
168	2.998031159
169	2.994624176
170	2.973702067
171	2.965124302
172	2.953100056
173	2.950874914
174	2.940976823
175	2.933230701
176	2.92847512
177	2.923186968
178	2.915151492
179	2.898841354
180	2.89014347
181	2.881473166
182	2.872708316
183	2.858992144
184	2.850238957
185	2.841433232
186	2.834736135
187	2.826253396
188	2.819509724
189	2.811049412
190	2.802529862
191	2.80115738
192	2.790220816
193	2.783999404
194	2.778248892
195	2.766568228
196	2.75973718
197	2.752709494
198	2.747427513
199	2.741942727
200	2.735237024
201	2.726056136
202	2.719346184
203	2.710234402
204	2.703183951
205	2.696306576
206	2.687347245
207	2.686464154
208	2.677425755
209	2.66815993
210	2.656655274
211	2.649322986
212	2.645432555
213	2.63674732
214	2.629563843
215	2.622814089
216	2.616718219
217	2.609826819
218	2.60226437
219	2.596337877
220	2.589161867
221	2.584174593
222	2.577802133
223	2.571906676
224	2.566511304
225	2.558372734
226	2.551173462
227	2.548947718
228	2.54066034
229	2.53266168
230	2.527330378
231	2.526602544
232	2.523633063
233	2.522449205
234	2.514663898
235	2.510332521
236	2.5032451
237	2.49800517
238	2.493047584
239	2.487282723
240	2.481604111
241	2.476331735
242	2.470783589
243	2.46651277
244	2.458651627
245	2.452430158
246	2.446679564
247	2.440774279
248	2.436035991
249	2.428721504
250	2.423383512
251	2.417637774
252	2.414278656
253	2.410668446
254	2.401112321
255	2.396241992
256	2.391357803
257	2.382905725
258	2.375307156
259	2.370270405
260	2.365107232
261	2.360002726
262	2.357094264
263	2.351876869
264	2.347352104
265	2.341559204
266	2.33603353
267	2.331032021
268	2.326092044
269	2.322882675
270	2.318229688
271	2.312571188
272	2.306455638
273	2.299763135
274	2.295016475
275	2.289092335
276	2.279291726
277	2.271948864
278	2.266202689
279	2.262732187
280	2.252264026
281	2.247783887
282	2.240233738
283	2.235300779
284	2.229283467
285	2.224915476
286	2.220795617
287	2.215990957
288	2.211822688
289	2.207252078
290	2.202769045
291	2.198759218
292	2.19465377
293	2.190643049
294	2.185568629
295	2.176115988
296	2.170980852
297	2.162975557
298	2.157888577
299	2.153703642
300	2.146290938
301	2.141681319
302	2.13858687
303	2.135500129
304	2.133270744
305	2.127363076
306	2.123610036
307	2.116103588
308	2.111145101
309	2.107364987
310	2.105883373
311	2.102096621
312	2.095294111
313	2.092023473
314	2.086620992
315	2.081693721
316	2.079728378
317	2.074275641
318	2.068101882
319	2.066689298
