iter	Passed	Remaining
0	1	1729
1	2	1553
2	3	1514
3	3	1393
4	4	1326
5	5	1288
6	5	1233
7	6	1227
8	7	1311
9	8	1285
10	9	1284
11	10	1285
12	11	1277
13	12	1286
14	12	1276
15	13	1262
16	14	1268
17	15	1255
18	15	1246
19	17	1290
20	18	1283
21	19	1281
22	19	1240
23	19	1227
24	20	1191
25	20	1181
26	21	1171
27	22	1162
28	22	1153
29	23	1140
30	23	1134
31	24	1124
32	25	1122
33	26	1122
34	26	1125
35	27	1126
36	28	1133
37	29	1133
38	30	1128
39	30	1110
40	31	1106
41	31	1099
42	32	1115
43	33	1105
44	33	1098
45	34	1091
46	35	1088
47	35	1083
48	36	1077
49	36	1071
50	37	1065
51	38	1059
52	38	1053
53	39	1048
54	39	1043
55	40	1038
56	40	1033
57	41	1028
58	41	1024
59	42	1024
60	43	1019
61	43	1015
62	44	1006
63	44	1001
64	45	998
65	45	993
66	46	989
67	46	985
68	47	981
69	47	977
70	48	974
71	48	971
72	49	963
73	49	959
74	50	956
75	50	952
76	51	948
77	52	948
78	52	947
79	54	958
80	54	955
81	55	953
82	55	951
83	56	948
84	56	946
85	57	944
86	58	953
87	59	950
88	59	948
89	60	946
90	60	943
91	61	940
92	62	938
93	62	936
94	63	934
95	63	932
96	64	929
97	64	927
98	65	925
99	65	919
100	66	927
101	67	926
102	68	923
103	68	923
104	69	921
105	69	920
106	70	918
107	71	925
108	72	931
109	74	938
110	74	935
111	75	934
112	75	932
113	76	928
114	77	927
115	77	926
116	78	925
117	78	922
118	79	921
119	79	919
120	80	917
121	81	915
122	81	913
123	82	911
124	82	909
125	83	908
126	83	907
127	84	905
128	85	903
129	85	901
130	86	900
131	86	898
132	87	897
133	88	903
134	89	901
135	89	897
136	90	896
137	90	894
138	91	892
139	91	890
140	91	885
141	92	884
142	93	882
143	93	880
144	94	880
145	94	878
146	95	877
147	95	875
148	96	873
149	96	872
150	97	871
151	98	869
152	98	868
153	98	865
154	99	863
155	100	862
156	100	861
157	101	860
158	101	859
159	102	858
160	103	856
161	103	855
162	104	854
163	104	852
164	105	851
165	105	849
166	106	848
167	106	846
168	107	845
169	107	844
170	108	843
171	109	842
172	109	840
173	110	839
174	110	837
175	111	836
176	111	835
177	112	833
178	112	832
179	113	832
180	113	830
181	114	829
182	115	827
183	115	826
184	116	825
185	116	824
186	117	823
187	117	822
188	118	821
189	119	820
190	119	820
191	120	818
192	120	817
193	121	815
194	121	814
195	122	813
196	122	810
197	123	809
198	123	808
199	124	806
200	124	805
201	125	804
202	125	802
203	126	801
204	126	800
205	127	799
206	127	797
207	127	794
208	128	793
209	129	792
210	129	791
211	130	790
212	130	789
213	131	788
214	131	787
215	132	786
216	132	785
217	133	784
218	133	783
219	134	782
220	135	781
221	135	780
222	136	779
223	136	778
224	137	777
225	137	775
226	138	775
227	138	774
228	139	773
229	140	773
230	140	772
231	140	769
232	141	768
233	141	766
234	142	765
235	142	764
236	143	763
237	143	762
238	144	761
239	144	760
240	145	759
241	146	759
242	146	757
243	147	756
244	147	755
245	148	754
246	148	753
247	149	753
248	149	752
249	150	754
250	151	754
251	152	753
252	152	752
253	153	751
254	153	750
255	154	749
256	154	748
257	155	747
258	155	747
259	156	747
260	157	746
261	157	745
262	158	744
263	158	743
264	159	742
265	159	742
266	160	741
267	161	740
268	161	739
269	162	738
270	162	738
271	163	737
272	163	736
273	164	735
274	164	734
275	165	733
276	166	733
277	166	732
278	167	731
279	167	730
280	168	730
281	168	729
282	169	728
283	169	727
284	170	726
285	170	725
286	171	724
287	172	723
288	172	722
289	172	721
290	173	721
291	174	721
292	174	720
293	175	719
294	175	718
295	176	718
296	177	717
297	177	716
298	178	718
299	179	717
300	179	716
301	180	715
302	180	714
303	181	713
304	181	712
305	182	711
306	183	711
307	183	710
308	184	709
309	184	709
310	185	708
311	185	707
312	186	706
313	186	705
314	187	704
315	187	703
316	188	702
317	188	702
318	189	701
319	189	700
320	190	699
321	191	698
322	191	697
323	192	697
324	192	696
325	193	695
326	193	695
327	194	694
328	194	693
329	195	692
330	195	692
331	196	691
332	197	690
333	197	690
334	198	689
335	198	688
336	199	688
337	200	688
338	200	687
339	201	686
340	201	686
341	202	685
342	203	684
343	203	684
344	204	683
345	204	682
346	205	681
347	205	681
348	206	681
349	206	680
350	207	679
351	208	678
352	208	677
353	209	677
354	209	676
355	210	675
356	210	675
357	211	674
358	211	673
359	212	672
360	212	671
361	213	671
362	214	670
363	214	669
364	215	669
365	215	668
366	216	667
367	216	667
368	217	666
369	218	665
370	218	664
371	219	664
372	220	665
373	220	665
374	221	664
375	222	664
376	222	663
377	223	662
378	223	661
379	224	661
380	224	660
381	225	659
382	225	658
383	226	657
384	226	656
385	227	655
386	227	655
387	228	654
388	228	653
389	229	652
390	229	652
391	230	651
392	230	650
393	231	650
394	232	649
395	232	649
396	233	648
397	233	647
398	234	647
399	235	646
400	235	646
401	236	645
402	236	644
403	237	643
404	237	643
405	238	642
406	239	642
407	239	641
408	240	640
409	240	640
410	242	641
411	242	640
412	243	640
413	243	639
414	244	638
415	244	638
416	245	637
417	246	636
418	246	636
419	247	635
420	247	634
421	248	634
422	248	633
423	249	632
424	249	631
425	250	632
426	251	632
427	252	631
428	252	630
429	253	629
430	253	629
431	254	628
432	254	627
433	255	627
434	255	626
435	256	625
436	256	625
437	257	624
438	258	623
439	258	622
440	259	622
441	259	621
442	260	620
443	260	620
444	261	619
445	261	618
446	262	618
447	263	617
448	263	617
449	264	616
450	264	615
451	265	615
452	265	614
453	266	613
454	267	613
455	267	612
456	268	612
457	268	611
458	269	610
459	269	609
460	270	609
461	271	608
462	271	608
463	272	607
464	273	608
465	273	607
466	274	606
467	274	606
468	275	605
469	275	604
470	276	604
471	277	603
472	277	602
473	278	602
474	278	601
475	279	600
476	279	600
477	280	599
478	281	599
479	281	598
480	282	597
481	282	597
482	283	596
483	283	596
484	284	595
485	285	594
486	285	593
487	286	593
488	286	592
489	287	591
490	287	591
491	288	590
492	288	589
493	289	590
494	290	589
495	291	589
496	291	588
497	292	588
498	292	587
499	293	586
500	294	586
501	294	585
502	295	584
503	295	584
504	296	583
505	297	584
506	297	583
507	298	582
508	299	582
509	299	581
510	300	581
511	300	580
512	301	579
513	301	578
514	302	578
515	302	577
516	303	576
517	303	576
518	304	575
519	305	575
520	305	574
521	306	573
522	306	572
523	307	572
524	307	571
525	308	571
526	309	570
527	309	569
528	310	569
529	310	568
530	311	567
531	311	567
532	312	566
533	312	565
534	313	565
535	313	564
536	314	563
537	314	563
538	315	562
539	316	561
540	316	561
541	317	560
542	317	559
543	318	559
544	318	558
545	319	557
546	319	557
547	320	556
548	321	556
549	321	555
550	322	554
551	322	554
552	323	553
553	323	552
554	324	552
555	324	551
556	325	550
557	325	550
558	326	549
559	327	550
560	328	549
561	328	548
562	329	548
563	330	547
564	330	547
565	331	546
566	331	546
567	332	545
568	332	544
569	333	544
570	334	543
571	334	542
572	335	542
573	335	541
574	336	541
575	337	540
576	337	540
577	338	539
578	338	539
579	339	538
580	339	537
581	340	537
582	341	536
583	341	535
584	342	534
585	342	534
586	343	533
