iter	MultiRMSE
0	1.688986637
1	1.646847542
2	1.606850174
3	1.567879516
4	1.529090791
5	1.491899822
6	1.455943656
7	1.420893031
8	1.387730092
9	1.354495933
10	1.322542675
11	1.291398772
12	1.262439661
13	1.233679754
14	1.205298316
15	1.178220773
16	1.151578023
17	1.126050471
18	1.100814192
19	1.077242029
20	1.054276971
21	1.031185355
22	1.008651143
23	0.9870282479
24	0.9665762994
25	0.9460967555
26	0.9263744651
27	0.9066817467
28	0.8888236572
29	0.8711997026
30	0.8536724337
31	0.8368948399
32	0.8201406187
33	0.8052512233
34	0.7905251944
35	0.7763476397
36	0.7620175567
37	0.7482517301
38	0.7348165378
39	0.7214665546
40	0.70925921
41	0.6968593977
42	0.6848945587
43	0.673794981
44	0.6625670841
45	0.6516762537
46	0.6413354446
47	0.6307215934
48	0.6207833943
49	0.6118186863
50	0.6032894075
51	0.5939178997
52	0.5853140964
53	0.5774353977
54	0.5689588424
55	0.5610393937
56	0.5536340835
57	0.5462665943
58	0.538716169
59	0.5315012508
60	0.5249971708
61	0.5180669544
62	0.5121398851
63	0.506143402
64	0.5003267079
65	0.4947030056
66	0.4892562236
67	0.4836914547
68	0.478254447
69	0.4734512099
70	0.4682440941
71	0.4635561468
72	0.4590073477
73	0.4545763684
74	0.4505302115
75	0.4459274611
76	0.4417989141
77	0.4380678668
78	0.4342177914
79	0.4304795757
80	0.4272757348
81	0.4236230648
82	0.4204290719
83	0.4171132489
84	0.4134815752
85	0.4106595097
86	0.4076726878
87	0.4048254433
88	0.402230081
89	0.399385755
90	0.3967753651
91	0.3944230898
92	0.3922912142
93	0.38972819
94	0.3874749694
95	0.3852023499
96	0.3829033689
97	0.3809191644
98	0.378511866
99	0.3764099354
100	0.3745198121
101	0.3725799466
102	0.3709076382
103	0.3690695266
104	0.3672915371
105	0.3655462681
106	0.3639038208
107	0.3621774462
108	0.3607021105
109	0.3591840952
110	0.3576435459
111	0.3562048918
112	0.3549546731
113	0.3535512788
114	0.3524150271
115	0.3512470584
116	0.3498791676
117	0.3487076681
118	0.3475677503
119	0.3463825657
120	0.3452548641
121	0.344136432
122	0.3430030657
123	0.3419387669
124	0.3410046671
125	0.3400669189
126	0.3391437617
127	0.3382003918
128	0.3373162979
129	0.336392022
130	0.3355146545
131	0.3346028865
132	0.3337684618
133	0.332874836
134	0.3320855222
135	0.3312315188
136	0.3303991324
137	0.3294741029
138	0.3287499962
139	0.3280294809
140	0.327352178
141	0.3266360808
142	0.3260426154
143	0.3253729849
144	0.3246198094
145	0.3238022649
146	0.3230055516
147	0.3223092963
148	0.3216010133
149	0.3208495139
150	0.3201616385
151	0.3195948361
152	0.3191227457
153	0.3185869667
154	0.3180611679
155	0.317487013
156	0.3168484444
157	0.3164281529
158	0.3158195548
159	0.3153477937
160	0.314773964
161	0.3143187046
162	0.3138432979
163	0.3131441065
164	0.3127743471
165	0.3122933764
166	0.3118072258
167	0.3113036845
168	0.310849402
169	0.3103419802
170	0.3099457342
171	0.3095221431
172	0.3089548083
173	0.3083987318
174	0.3079107962
175	0.3073980099
176	0.3068425725
177	0.3063808005
178	0.305938723
179	0.3055804833
180	0.3050415205
181	0.3045969534
182	0.3041862763
183	0.3037406674
184	0.3033504584
185	0.302878963
186	0.3024812497
187	0.3020553956
188	0.3017959264
189	0.3014332717
190	0.3009463274
191	0.3005934946
192	0.3001595113
193	0.2997279681
194	0.2994502482
195	0.299085346
196	0.2986678312
197	0.298220336
198	0.2977824162
199	0.2975026374
200	0.2971511605
201	0.2968272567
202	0.2963694218
203	0.2959746
204	0.2957456625
205	0.2952448431
206	0.2949364884
207	0.2946132215
208	0.2943090475
209	0.2941126792
