iter	Passed	Remaining
0	2	2093
1	4	2002
2	6	2000
3	7	1966
4	10	2042
5	12	2045
6	14	2086
7	16	2090
8	18	2089
9	21	2128
10	23	2116
11	25	2107
12	28	2151
13	30	2130
14	32	2136
15	34	2118
16	36	2104
17	38	2110
18	40	2105
19	42	2095
20	44	2083
21	46	2072
22	48	2063
23	50	2061
24	52	2060
25	54	2058
26	56	2051
27	59	2050
28	61	2045
29	63	2038
30	65	2033
31	67	2027
32	69	2025
33	71	2026
34	73	2019
35	75	2020
36	77	2014
37	79	2007
38	81	2003
39	83	2001
40	85	1998
41	87	1997
42	89	1993
43	91	1992
44	93	1987
45	95	1990
46	98	1987
47	99	1981
48	101	1978
49	103	1971
50	105	1965
51	107	1959
52	109	1958
53	111	1956
54	113	1953
55	115	1947
56	117	1943
57	119	1942
58	121	1938
59	123	1938
60	125	1934
61	127	1930
62	129	1929
63	131	1926
64	133	1924
65	136	1928
66	138	1925
67	140	1922
68	142	1921
69	144	1918
70	146	1917
71	148	1914
72	150	1912
73	152	1911
74	154	1908
75	156	1905
76	158	1903
77	160	1900
78	162	1896
79	164	1893
80	166	1888
81	168	1886
82	170	1882
83	172	1878
84	174	1874
85	176	1871
86	177	1867
87	180	1866
88	182	1862
89	184	1867
90	186	1866
91	188	1864
92	191	1863
93	192	1858
94	195	1858
95	197	1856
96	199	1854
97	201	1851
98	203	1849
99	205	1851
100	207	1847
101	209	1844
102	211	1842
103	213	1838
104	215	1836
105	217	1835
106	219	1831
107	221	1830
108	223	1826
109	225	1824
110	227	1820
111	229	1818
112	231	1817
113	233	1815
114	235	1813
115	237	1810
116	239	1807
117	241	1805
118	243	1802
119	245	1800
120	247	1798
121	249	1795
122	251	1794
123	253	1792
124	255	1789
125	258	1791
126	260	1788
127	262	1788
128	264	1784
129	266	1781
130	268	1779
131	270	1778
132	272	1776
133	274	1774
134	276	1772
135	278	1769
136	280	1766
137	282	1764
138	284	1761
139	286	1758
140	288	1757
141	290	1755
142	292	1752
143	294	1749
144	296	1746
145	298	1745
146	300	1743
147	302	1742
148	304	1739
149	306	1737
150	308	1736
151	310	1734
152	312	1732
153	315	1733
154	317	1730
155	319	1727
156	321	1726
157	323	1724
158	325	1721
159	327	1720
160	329	1717
161	331	1714
162	333	1713
163	335	1710
164	337	1708
165	339	1706
166	342	1706
167	344	1704
168	346	1701
169	348	1699
170	349	1696
171	351	1693
172	353	1691
173	355	1688
174	357	1686
175	359	1683
176	361	1681
177	363	1678
178	365	1677
179	367	1675
180	369	1672
181	371	1670
182	374	1670
183	376	1668
184	378	1666
185	380	1663
186	382	1661
187	384	1658
188	385	1655
189	387	1652
190	390	1653
191	392	1650
192	394	1648
193	396	1646
194	398	1643
195	399	1640
196	402	1639
197	403	1633
198	405	1631
199	407	1629
200	409	1627
201	411	1625
202	414	1626
203	416	1624
204	418	1622
205	420	1620
206	422	1618
207	424	1616
208	426	1614
209	428	1612
210	430	1610
211	432	1607
212	434	1605
213	436	1603
214	438	1600
215	440	1598
216	442	1596
217	444	1593
218	446	1592
219	449	1592
220	450	1589
221	452	1586
222	454	1584
223	456	1582
224	458	1579
225	460	1578
226	463	1578
227	465	1575
228	467	1573
229	469	1571
230	471	1569
231	474	1569
232	476	1566
233	477	1564
234	479	1562
235	481	1560
236	483	1557
237	485	1555
238	487	1552
239	489	1551
240	491	1548
241	493	1545
242	495	1543
243	497	1540
244	499	1538
245	500	1535
246	503	1533
247	505	1531
248	506	1528
249	508	1526
250	511	1525
251	513	1523
252	515	1521
253	517	1519
254	519	1517
255	521	1515
256	523	1513
257	525	1510
258	527	1508
259	529	1506
260	531	1503
261	534	1504
262	536	1502
263	537	1499
264	540	1497
265	542	1496
266	544	1493
267	546	1491
268	548	1489
269	550	1487
270	552	1485
271	554	1483
272	556	1481
